rssi,mac_address,timestamp,distance,receiver
-68,B0:B4:48:BC:63:07,145904487254,6.67,False
-60,B0:B4:48:BC:63:07,145904487310,4.76,False
-68,B0:B4:48:BC:63:07,145904487312,6.67,False
-60,B0:B4:48:BC:63:07,145904487313,4.76,False
-68,B0:B4:48:BC:63:07,145904487314,6.67,False
-64,B0:B4:48:BC:63:07,145904487314,5.71,False
-68,B0:B4:48:BC:63:07,145904487315,6.67,False
-64,B0:B4:48:BC:63:07,145904487316,5.71,False
-70,B0:B4:48:BC:63:07,145904487317,7.14,False
-69,B0:B4:48:BC:63:07,145904487351,6.9,False
-68,B0:B4:48:BC:63:07,145904487352,6.67,False
-66,B0:B4:48:BC:63:07,145904487353,6.19,False
-69,B0:B4:48:BC:63:07,145904487354,6.9,False
-71,B0:B4:48:BC:63:07,145904487355,7.38,False
-68,B0:B4:48:BC:63:07,145904487355,6.67,False
-60,B0:B4:48:BC:63:07,145904487356,4.76,False
-68,B0:B4:48:BC:63:07,145904487357,6.67,False
-60,B0:B4:48:BC:63:07,145904487403,4.76,False
-68,B0:B4:48:BC:63:07,145904487404,6.67,False
-60,B0:B4:48:BC:63:07,145904487406,4.76,False
-68,B0:B4:48:BC:63:07,145904487407,6.67,False
-64,B0:B4:48:BC:63:07,145904487408,5.71,False
-68,B0:B4:48:BC:63:07,145904487409,6.67,False
-60,B0:B4:48:BC:63:07,145904487409,4.76,False
-68,B0:B4:48:BC:63:07,145904487410,6.67,False
-60,B0:B4:48:BC:63:07,145904487453,4.76,False
-68,B0:B4:48:BC:63:07,145904487455,6.67,False
-64,B0:B4:48:BC:63:07,145904487456,5.71,False
-69,B0:B4:48:BC:63:07,145904487457,6.9,False
-68,B0:B4:48:BC:63:07,145904487458,6.67,False
-60,B0:B4:48:BC:63:07,145904487459,4.76,False
-68,B0:B4:48:BC:63:07,145904487459,6.67,False
-64,B0:B4:48:BC:63:07,145904487460,5.71,False
-67,B0:B4:48:BC:63:07,145904487496,6.43,False
-69,B0:B4:48:BC:63:07,145904487498,6.9,False
-68,B0:B4:48:BC:63:07,145904487499,6.67,False
-64,B0:B4:48:BC:63:07,145904487499,5.71,False
-68,B0:B4:48:BC:63:07,145904487500,6.67,False
-69,B0:B4:48:BC:63:07,145904487501,6.9,False
