rssi,mac_address,timestamp,distance
-54,B0:B4:48:BC:63:07,145858966737,6.36
-54,B0:B4:48:BC:63:07,145858966737,6.36
-52,B0:B4:48:BC:63:07,145858966737,5.45
-51,B0:B4:48:BC:63:07,145858966737,5.0
-59,B0:B4:48:BC:63:07,145858966737,8.64
-52,B0:B4:48:BC:63:07,145858966737,5.45
-52,B0:B4:48:BC:63:07,145858966809,5.45
-53,B0:B4:48:BC:63:07,145858966809,5.91
-55,B0:B4:48:BC:63:07,145858966809,6.82
-56,B0:B4:48:BC:63:07,145858966809,7.27
-56,B0:B4:48:BC:63:07,145858966809,7.27
-56,B0:B4:48:BC:63:07,145858966809,7.27
-56,B0:B4:48:BC:63:07,145858966809,7.27
-56,B0:B4:48:BC:63:07,145858966809,7.27
-55,B0:B4:48:BC:63:07,145858966851,6.82
-54,B0:B4:48:BC:63:07,145858966851,6.36
-60,B0:B4:48:BC:63:07,145858966851,9.09
-59,B0:B4:48:BC:63:07,145858966851,8.64
-55,B0:B4:48:BC:63:07,145858966851,6.82
-55,B0:B4:48:BC:63:07,145858966851,6.82
-55,B0:B4:48:BC:63:07,145858966851,6.82
-55,B0:B4:48:BC:63:07,145858966851,6.82
-60,B0:B4:48:BC:63:07,145858966894,9.09
-56,B0:B4:48:BC:63:07,145858966894,7.27
-55,B0:B4:48:BC:63:07,145858966894,6.82
-55,B0:B4:48:BC:63:07,145858966894,6.82
-55,B0:B4:48:BC:63:07,145858966894,6.82
-61,B0:B4:48:BC:63:07,145858966894,9.55
-61,B0:B4:48:BC:63:07,145858966894,9.55
-56,B0:B4:48:BC:63:07,145858966894,7.27
-56,B0:B4:48:BC:63:07,145858966936,7.27
-62,B0:B4:48:BC:63:07,145858966936,10.0
-61,B0:B4:48:BC:63:07,145858966936,9.55
-56,B0:B4:48:BC:63:07,145858966936,7.27
-56,B0:B4:48:BC:63:07,145858966936,7.27
-62,B0:B4:48:BC:63:07,145858966936,10.0
-62,B0:B4:48:BC:63:07,145858966936,10.0
-57,B0:B4:48:BC:63:07,145858966936,7.73
-57,B0:B4:48:BC:63:07,145858966999,7.73
-63,B0:B4:48:BC:63:07,145858966999,10.45
-63,B0:B4:48:BC:63:07,145858966999,10.45
-63,B0:B4:48:BC:63:07,145858966999,10.45
-58,B0:B4:48:BC:63:07,145858966999,8.18
-58,B0:B4:48:BC:63:07,145858966999,8.18
-59,B0:B4:48:BC:63:07,145858967000,8.64
-59,B0:B4:48:BC:63:07,145858967000,8.64
-60,B0:B4:48:BC:63:07,145858967052,9.09
-60,B0:B4:48:BC:63:07,145858967052,9.09
-66,B0:B4:48:BC:63:07,145858967052,11.82
-65,B0:B4:48:BC:63:07,145858967052,11.36
-61,B0:B4:48:BC:63:07,145858967052,9.55
-61,B0:B4:48:BC:63:07,145858967052,9.55
-60,B0:B4:48:BC:63:07,145858967052,9.09
-60,B0:B4:48:BC:63:07,145858967052,9.09
-60,B0:B4:48:BC:63:07,145858967104,9.09
-60,B0:B4:48:BC:63:07,145858967104,9.09
-66,B0:B4:48:BC:63:07,145858967104,11.82
-60,B0:B4:48:BC:63:07,145858967104,9.09
-60,B0:B4:48:BC:63:07,145858967104,9.09
-60,B0:B4:48:BC:63:07,145858967104,9.09
-60,B0:B4:48:BC:63:07,145858967104,9.09
-61,B0:B4:48:BC:63:07,145858967104,9.55
-60,B0:B4:48:BC:63:07,145858967166,9.09
-61,B0:B4:48:BC:63:07,145858967166,9.55
-61,B0:B4:48:BC:63:07,145858967166,9.55
-61,B0:B4:48:BC:63:07,145858967166,9.55
-61,B0:B4:48:BC:63:07,145858967166,9.55
-61,B0:B4:48:BC:63:07,145858967166,9.55
-61,B0:B4:48:BC:63:07,145858967166,9.55
-66,B0:B4:48:BC:63:07,145858967166,11.82
-53,B0:B4:48:BC:63:07,145858967218,5.91
-53,B0:B4:48:BC:63:07,145858967218,5.91
-60,B0:B4:48:BC:63:07,145858967218,9.09
-59,B0:B4:48:BC:63:07,145858967218,8.64
-48,B0:B4:48:BC:63:07,145858967218,3.64
-57,B0:B4:48:BC:63:07,145858967218,7.73
-56,B0:B4:48:BC:63:07,145858967218,7.27
-53,B0:B4:48:BC:63:07,145858967218,5.91
-51,B0:B4:48:BC:63:07,145858967270,5.0
-51,B0:B4:48:BC:63:07,145858967270,5.0
-56,B0:B4:48:BC:63:07,145858967271,7.27
-56,B0:B4:48:BC:63:07,145858967271,7.27
-50,B0:B4:48:BC:63:07,145858967271,4.55
-49,B0:B4:48:BC:63:07,145858967271,4.09
-46,B0:B4:48:BC:63:07,145858967271,2.73
-47,B0:B4:48:BC:63:07,145858967271,3.18
-47,B0:B4:48:BC:63:07,145858967312,3.18
-46,B0:B4:48:BC:63:07,145858967312,2.73
-48,B0:B4:48:BC:63:07,145858967312,3.64
-51,B0:B4:48:BC:63:07,145858967312,5.0
-51,B0:B4:48:BC:63:07,145858967312,5.0
-49,B0:B4:48:BC:63:07,145858967312,4.09
-49,B0:B4:48:BC:63:07,145858967312,4.09
-50,B0:B4:48:BC:63:07,145858967374,4.55
-52,B0:B4:48:BC:63:07,145858967374,5.45
-52,B0:B4:48:BC:63:07,145858967374,5.45
-51,B0:B4:48:BC:63:07,145858967374,5.0
-51,B0:B4:48:BC:63:07,145858967374,5.0
-51,B0:B4:48:BC:63:07,145858967374,5.0
-51,B0:B4:48:BC:63:07,145858967374,5.0
-60,B0:B4:48:BC:63:07,145858967374,9.09
-60,B0:B4:48:BC:63:07,145858967415,9.09
-57,B0:B4:48:BC:63:07,145858967415,7.73
-57,B0:B4:48:BC:63:07,145858967415,7.73
-67,B0:B4:48:BC:63:07,145858967415,12.27
-67,B0:B4:48:BC:63:07,145858967415,12.27
-46,B0:B4:48:BC:63:07,145858967415,2.73
-46,B0:B4:48:BC:63:07,145858967415,2.73
-48,B0:B4:48:BC:63:07,145858967416,3.64
-47,B0:B4:48:BC:63:07,145858967457,3.18
-37,B0:B4:48:BC:63:07,145858967457,-1.36
-37,B0:B4:48:BC:63:07,145858967457,-1.36
-39,B0:B4:48:BC:63:07,145858967457,-0.45
-38,B0:B4:48:BC:63:07,145858967457,-0.91
-37,B0:B4:48:BC:63:07,145858967457,-1.36
-37,B0:B4:48:BC:63:07,145858967457,-1.36
-42,B0:B4:48:BC:63:07,145858967457,0.91
-41,B0:B4:48:BC:63:07,145858967529,0.45
-42,B0:B4:48:BC:63:07,145858967529,0.91
-42,B0:B4:48:BC:63:07,145858967529,0.91
-37,B0:B4:48:BC:63:07,145858967529,-1.36
-42,B0:B4:48:BC:63:07,145858967529,0.91
-42,B0:B4:48:BC:63:07,145858967530,0.91
-40,B0:B4:48:BC:63:07,145858967530,0.0
-40,B0:B4:48:BC:63:07,145858967530,0.0
-41,B0:B4:48:BC:63:07,145858967582,0.45
-41,B0:B4:48:BC:63:07,145858967582,0.45
-42,B0:B4:48:BC:63:07,145858967582,0.91
-41,B0:B4:48:BC:63:07,145858967582,0.45
-41,B0:B4:48:BC:63:07,145858967582,0.45
-43,B0:B4:48:BC:63:07,145858967582,1.36
-43,B0:B4:48:BC:63:07,145858967582,1.36
-46,B0:B4:48:BC:63:07,145858967582,2.73
-47,B0:B4:48:BC:63:07,145858967623,3.18
-45,B0:B4:48:BC:63:07,145858967623,2.27
-45,B0:B4:48:BC:63:07,145858967623,2.27
-41,B0:B4:48:BC:63:07,145858967623,0.45
-41,B0:B4:48:BC:63:07,145858967623,0.45
-45,B0:B4:48:BC:63:07,145858967623,2.27
-46,B0:B4:48:BC:63:07,145858967623,2.73
-41,B0:B4:48:BC:63:07,145858967623,0.45
-41,B0:B4:48:BC:63:07,145858967686,0.45
-42,B0:B4:48:BC:63:07,145858967686,0.91
-42,B0:B4:48:BC:63:07,145858967686,0.91
-41,B0:B4:48:BC:63:07,145858967686,0.45
-41,B0:B4:48:BC:63:07,145858967686,0.45
-40,B0:B4:48:BC:63:07,145858967686,0.0
-41,B0:B4:48:BC:63:07,145858967686,0.45
-39,B0:B4:48:BC:63:07,145858967686,-0.45
-40,B0:B4:48:BC:63:07,145858967727,0.0
-44,B0:B4:48:BC:63:07,145858967727,1.82
-43,B0:B4:48:BC:63:07,145858967727,1.36
-39,B0:B4:48:BC:63:07,145858967727,-0.45
-40,B0:B4:48:BC:63:07,145858967727,0.0
-39,B0:B4:48:BC:63:07,145858967728,-0.45
-40,B0:B4:48:BC:63:07,145858967728,0.0
-44,B0:B4:48:BC:63:07,145858967728,1.82
-44,B0:B4:48:BC:63:07,145858967769,1.82
-40,B0:B4:48:BC:63:07,145858967769,0.0
-40,B0:B4:48:BC:63:07,145858967769,0.0
-45,B0:B4:48:BC:63:07,145858967769,2.27
-45,B0:B4:48:BC:63:07,145858967769,2.27
-41,B0:B4:48:BC:63:07,145858967769,0.45
-41,B0:B4:48:BC:63:07,145858967769,0.45
-43,B0:B4:48:BC:63:07,145858967769,1.36
-43,B0:B4:48:BC:63:07,145858967843,1.36
-43,B0:B4:48:BC:63:07,145858967843,1.36
-43,B0:B4:48:BC:63:07,145858967843,1.36
-46,B0:B4:48:BC:63:07,145858967843,2.73
-43,B0:B4:48:BC:63:07,145858967843,1.36
-42,B0:B4:48:BC:63:07,145858967843,0.91
-42,B0:B4:48:BC:63:07,145858967843,0.91
-45,B0:B4:48:BC:63:07,145858967843,2.27
-42,B0:B4:48:BC:63:07,145858967884,0.91
-42,B0:B4:48:BC:63:07,145858967884,0.91
-42,B0:B4:48:BC:63:07,145858967884,0.91
