rssi,mac_address,timestamp,distance,receiver
-70,B0:B4:48:BC:63:07,145904509968,7.14,False
-68,B0:B4:48:BC:63:07,145904509973,6.67,False
-62,B0:B4:48:BC:63:07,145904510025,5.24,False
-70,B0:B4:48:BC:63:07,145904510027,7.14,False
-68,B0:B4:48:BC:63:07,145904510028,6.67,False
-61,B0:B4:48:BC:63:07,145904510029,5.0,False
-71,B0:B4:48:BC:63:07,145904510030,7.38,False
-68,B0:B4:48:BC:63:07,145904510031,6.67,False
-61,B0:B4:48:BC:63:07,145904510031,5.0,False
-68,B0:B4:48:BC:63:07,145904510032,6.67,False
-63,B0:B4:48:BC:63:07,145904510067,5.48,False
-62,B0:B4:48:BC:63:07,145904510069,5.24,False
-63,B0:B4:48:BC:63:07,145904510070,5.48,False
-68,B0:B4:48:BC:63:07,145904510071,6.67,False
-65,B0:B4:48:BC:63:07,145904510072,5.95,False
-64,B0:B4:48:BC:63:07,145904510072,5.71,False
-64,B0:B4:48:BC:63:07,145904510073,5.71,False
-68,B0:B4:48:BC:63:07,145904510074,6.67,False
-65,B0:B4:48:BC:63:07,145904510120,5.95,False
-68,B0:B4:48:BC:63:07,145904510121,6.67,False
-66,B0:B4:48:BC:63:07,145904510123,6.19,False
-73,B0:B4:48:BC:63:07,145904510123,7.86,False
-71,B0:B4:48:BC:63:07,145904510124,7.38,False
-70,B0:B4:48:BC:63:07,145904510125,7.14,False
-69,B0:B4:48:BC:63:07,145904510126,6.9,False
-71,B0:B4:48:BC:63:07,145904510127,7.38,False
-70,B0:B4:48:BC:63:07,145904510162,7.14,False
-69,B0:B4:48:BC:63:07,145904510164,6.9,False
-68,B0:B4:48:BC:63:07,145904510165,6.67,False
-72,B0:B4:48:BC:63:07,145904510166,7.62,False
-71,B0:B4:48:BC:63:07,145904510167,7.38,False
-68,B0:B4:48:BC:63:07,145904510167,6.67,False
-66,B0:B4:48:BC:63:07,145904510168,6.19,False
-63,B0:B4:48:BC:63:07,145904510169,5.48,False
-63,B0:B4:48:BC:63:07,145904510215,5.48,False
-68,B0:B4:48:BC:63:07,145904510216,6.67,False
-66,B0:B4:48:BC:63:07,145904510218,6.19,False
-68,B0:B4:48:BC:63:07,145904510219,6.67,False
-65,B0:B4:48:BC:63:07,145904510220,5.95,False
-64,B0:B4:48:BC:63:07,145904510220,5.71,False
-64,B0:B4:48:BC:63:07,145904510221,5.71,False
-75,B0:B4:48:BC:63:07,145904510222,8.33,False
-74,B0:B4:48:BC:63:07,145904510258,8.1,False
-65,B0:B4:48:BC:63:07,145904510259,5.95,False
-64,B0:B4:48:BC:63:07,145904510260,5.71,False
-75,B0:B4:48:BC:63:07,145904510261,8.33,False
-74,B0:B4:48:BC:63:07,145904510262,8.1,False
-68,B0:B4:48:BC:63:07,145904510263,6.67,False
-66,B0:B4:48:BC:63:07,145904510264,6.19,False
-75,B0:B4:48:BC:63:07,145904510264,8.33,False
-74,B0:B4:48:BC:63:07,145904510310,8.1,False
-65,B0:B4:48:BC:63:07,145904510311,5.95,False
-64,B0:B4:48:BC:63:07,145904510311,5.71,False
-68,B0:B4:48:BC:63:07,145904510312,6.67,False
-66,B0:B4:48:BC:63:07,145904510313,6.19,False
-75,B0:B4:48:BC:63:07,145904510314,8.33,False
-75,B0:B4:48:BC:63:07,145904510315,8.33,False
-66,B0:B4:48:BC:63:07,145904510316,6.19,False
-66,B0:B4:48:BC:63:07,145904510372,6.19,False
-76,B0:B4:48:BC:63:07,145904510374,8.57,False
-75,B0:B4:48:BC:63:07,145904510375,8.33,False
-68,B0:B4:48:BC:63:07,145904510376,6.67,False
-69,B0:B4:48:BC:63:07,145904510377,6.9,False
-68,B0:B4:48:BC:63:07,145904510378,6.67,False
-68,B0:B4:48:BC:63:07,145904510378,6.67,False
-80,B0:B4:48:BC:63:07,145904510379,9.52,False
-78,B0:B4:48:BC:63:07,145904510380,9.05,False
-69,B0:B4:48:BC:63:07,145904510415,6.9,False
-68,B0:B4:48:BC:63:07,145904510415,6.67,False
-79,B0:B4:48:BC:63:07,145904510416,9.29,False
-79,B0:B4:48:BC:63:07,145904510417,9.29,False
-80,B0:B4:48:BC:63:07,145904510418,9.52,False
-79,B0:B4:48:BC:63:07,145904510419,9.29,False
-68,B0:B4:48:BC:63:07,145904510420,6.67,False
-66,B0:B4:48:BC:63:07,145904510420,6.19,False
-67,B0:B4:48:BC:63:07,145904510457,6.43,False
-68,B0:B4:48:BC:63:07,145904510458,6.67,False
-80,B0:B4:48:BC:63:07,145904510460,9.52,False
-78,B0:B4:48:BC:63:07,145904510461,9.05,False
-69,B0:B4:48:BC:63:07,145904510463,6.9,False
-68,B0:B4:48:BC:63:07,145904510464,6.67,False
-68,B0:B4:48:BC:63:07,145904510465,6.67,False
-66,B0:B4:48:BC:63:07,145904510466,6.19,False
-68,B0:B4:48:BC:63:07,145904510499,6.67,False
-68,B0:B4:48:BC:63:07,145904510500,6.67,False
-80,B0:B4:48:BC:63:07,145904510500,9.52,False
-68,B0:B4:48:BC:63:07,145904510501,6.67,False
-68,B0:B4:48:BC:63:07,145904510502,6.67,False
-81,B0:B4:48:BC:63:07,145904510503,9.76,False
-79,B0:B4:48:BC:63:07,145904510503,9.29,False
-68,B0:B4:48:BC:63:07,145904510505,6.67,False
-67,B0:B4:48:BC:63:07,145904510541,6.43,False
-68,B0:B4:48:BC:63:07,145904510543,6.67,False
-66,B0:B4:48:BC:63:07,145904510544,6.19,False
-82,B0:B4:48:BC:63:07,145904510544,10.0,False
-81,B0:B4:48:BC:63:07,145904510545,9.76,False
-66,B0:B4:48:BC:63:07,145904510546,6.19,False
-65,B0:B4:48:BC:63:07,145904510547,5.95,False
