rssi,mac_address,timestamp,distance,receiver
-67,B0:B4:48:BC:63:07,145904489781,6.43,False
-67,B0:B4:48:BC:63:07,145904489787,6.43,False
-68,B0:B4:48:BC:63:07,145904489788,6.67,False
-60,B0:B4:48:BC:63:07,145904489790,4.76,False
-67,B0:B4:48:BC:63:07,145904489792,6.43,False
-67,B0:B4:48:BC:63:07,145904489831,6.43,False
-67,B0:B4:48:BC:63:07,145904489832,6.43,False
-66,B0:B4:48:BC:63:07,145904489833,6.19,False
-65,B0:B4:48:BC:63:07,145904489833,5.95,False
-63,B0:B4:48:BC:63:07,145904489834,5.48,False
-66,B0:B4:48:BC:63:07,145904489835,6.19,False
-68,B0:B4:48:BC:63:07,145904489836,6.67,False
-68,B0:B4:48:BC:63:07,145904489836,6.67,False
-63,B0:B4:48:BC:63:07,145904489892,5.48,False
-67,B0:B4:48:BC:63:07,145904489893,6.43,False
-68,B0:B4:48:BC:63:07,145904489894,6.67,False
-68,B0:B4:48:BC:63:07,145904489895,6.67,False
-60,B0:B4:48:BC:63:07,145904489895,4.76,False
-68,B0:B4:48:BC:63:07,145904489896,6.67,False
-60,B0:B4:48:BC:63:07,145904489897,4.76,False
-68,B0:B4:48:BC:63:07,145904489898,6.67,False
-63,B0:B4:48:BC:63:07,145904489899,5.48,False
-68,B0:B4:48:BC:63:07,145904489934,6.67,False
-67,B0:B4:48:BC:63:07,145904489935,6.43,False
-68,B0:B4:48:BC:63:07,145904489936,6.67,False
-63,B0:B4:48:BC:63:07,145904489937,5.48,False
-68,B0:B4:48:BC:63:07,145904489937,6.67,False
-63,B0:B4:48:BC:63:07,145904489938,5.48,False
-68,B0:B4:48:BC:63:07,145904489939,6.67,False
-60,B0:B4:48:BC:63:07,145904489940,4.76,False
-68,B0:B4:48:BC:63:07,145904490008,6.67,False
-63,B0:B4:48:BC:63:07,145904490009,5.48,False
-68,B0:B4:48:BC:63:07,145904490010,6.67,False
-60,B0:B4:48:BC:63:07,145904490011,4.76,False
-68,B0:B4:48:BC:63:07,145904490011,6.67,False
-59,B0:B4:48:BC:63:07,145904490012,4.52,False
-68,B0:B4:48:BC:63:07,145904490013,6.67,False
-63,B0:B4:48:BC:63:07,145904490014,5.48,False
-68,B0:B4:48:BC:63:07,145904490059,6.67,False
-60,B0:B4:48:BC:63:07,145904490061,4.76,False
-68,B0:B4:48:BC:63:07,145904490062,6.67,False
-68,B0:B4:48:BC:63:07,145904490063,6.67,False
-68,B0:B4:48:BC:63:07,145904490064,6.67,False
-60,B0:B4:48:BC:63:07,145904490065,4.76,False
-68,B0:B4:48:BC:63:07,145904490066,6.67,False
-61,B0:B4:48:BC:63:07,145904490067,5.0,False
-68,B0:B4:48:BC:63:07,145904490101,6.67,False
-61,B0:B4:48:BC:63:07,145904490101,5.0,False
-71,B0:B4:48:BC:63:07,145904490102,7.38,False
-71,B0:B4:48:BC:63:07,145904490103,7.38,False
-68,B0:B4:48:BC:63:07,145904490104,6.67,False
-64,B0:B4:48:BC:63:07,145904490104,5.71,False
-70,B0:B4:48:BC:63:07,145904490105,7.14,False
