rssi,mac_address,timestamp,distance,receiver
-67,B0:B4:48:BC:63:07,145904488584,6.43,False
-68,B0:B4:48:BC:63:07,145904488589,6.67,False
-60,B0:B4:48:BC:63:07,145904488592,4.76,False
-68,B0:B4:48:BC:63:07,145904488621,6.67,False
-60,B0:B4:48:BC:63:07,145904488622,4.76,False
-68,B0:B4:48:BC:63:07,145904488624,6.67,False
-64,B0:B4:48:BC:63:07,145904488625,5.71,False
-68,B0:B4:48:BC:63:07,145904488626,6.67,False
-60,B0:B4:48:BC:63:07,145904488626,4.76,False
-68,B0:B4:48:BC:63:07,145904488627,6.67,False
-64,B0:B4:48:BC:63:07,145904488628,5.71,False
-68,B0:B4:48:BC:63:07,145904488663,6.67,False
-60,B0:B4:48:BC:63:07,145904488664,4.76,False
-68,B0:B4:48:BC:63:07,145904488667,6.67,False
-60,B0:B4:48:BC:63:07,145904488668,4.76,False
-68,B0:B4:48:BC:63:07,145904488669,6.67,False
-60,B0:B4:48:BC:63:07,145904488669,4.76,False
-68,B0:B4:48:BC:63:07,145904488670,6.67,False
-64,B0:B4:48:BC:63:07,145904488671,5.71,False
-68,B0:B4:48:BC:63:07,145904488725,6.67,False
-59,B0:B4:48:BC:63:07,145904488726,4.52,False
-68,B0:B4:48:BC:63:07,145904488728,6.67,False
-60,B0:B4:48:BC:63:07,145904488729,4.76,False
-68,B0:B4:48:BC:63:07,145904488730,6.67,False
-63,B0:B4:48:BC:63:07,145904488731,5.48,False
-65,B0:B4:48:BC:63:07,145904488731,5.95,False
-65,B0:B4:48:BC:63:07,145904488732,5.95,False
-67,B0:B4:48:BC:63:07,145904488768,6.43,False
-68,B0:B4:48:BC:63:07,145904488769,6.67,False
-68,B0:B4:48:BC:63:07,145904488770,6.67,False
-64,B0:B4:48:BC:63:07,145904488771,5.71,False
-69,B0:B4:48:BC:63:07,145904488772,6.9,False
-68,B0:B4:48:BC:63:07,145904488773,6.67,False
-68,B0:B4:48:BC:63:07,145904488774,6.67,False
-60,B0:B4:48:BC:63:07,145904488774,4.76,False
-68,B0:B4:48:BC:63:07,145904488809,6.67,False
-61,B0:B4:48:BC:63:07,145904488810,5.0,False
-68,B0:B4:48:BC:63:07,145904488812,6.67,False
-63,B0:B4:48:BC:63:07,145904488813,5.48,False
-69,B0:B4:48:BC:63:07,145904488814,6.9,False
-68,B0:B4:48:BC:63:07,145904488814,6.67,False
-68,B0:B4:48:BC:63:07,145904488815,6.67,False
-59,B0:B4:48:BC:63:07,145904488816,4.52,False
-68,B0:B4:48:BC:63:07,145904488817,6.67,False
-67,B0:B4:48:BC:63:07,145904488852,6.43,False
-68,B0:B4:48:BC:63:07,145904488853,6.67,False
-63,B0:B4:48:BC:63:07,145904488854,5.48,False
-70,B0:B4:48:BC:63:07,145904488855,7.14,False
-69,B0:B4:48:BC:63:07,145904488856,6.9,False
-68,B0:B4:48:BC:63:07,145904488856,6.67,False
-60,B0:B4:48:BC:63:07,145904488857,4.76,False
-68,B0:B4:48:BC:63:07,145904488858,6.67,False
-68,B0:B4:48:BC:63:07,145904488894,6.67,False
-68,B0:B4:48:BC:63:07,145904488895,6.67,False
-60,B0:B4:48:BC:63:07,145904488896,4.76,False
-67,B0:B4:48:BC:63:07,145904488897,6.43,False
-68,B0:B4:48:BC:63:07,145904488898,6.67,False
-68,B0:B4:48:BC:63:07,145904488899,6.67,False
-60,B0:B4:48:BC:63:07,145904488899,4.76,False
-68,B0:B4:48:BC:63:07,145904488900,6.67,False
-63,B0:B4:48:BC:63:07,145904488935,5.48,False
-68,B0:B4:48:BC:63:07,145904488937,6.67,False
-60,B0:B4:48:BC:63:07,145904488937,4.76,False
-68,B0:B4:48:BC:63:07,145904488938,6.67,False
-68,B0:B4:48:BC:63:07,145904488939,6.67,False
-68,B0:B4:48:BC:63:07,145904488939,6.67,False
-60,B0:B4:48:BC:63:07,145904488940,4.76,False
-67,B0:B4:48:BC:63:07,145904488941,6.43,False
-68,B0:B4:48:BC:63:07,145904488987,6.67,False
-68,B0:B4:48:BC:63:07,145904488988,6.67,False
-64,B0:B4:48:BC:63:07,145904488990,5.71,False
-68,B0:B4:48:BC:63:07,145904488991,6.67,False
-59,B0:B4:48:BC:63:07,145904488992,4.52,False
-68,B0:B4:48:BC:63:07,145904488993,6.67,False
-66,B0:B4:48:BC:63:07,145904488994,6.19,False
-68,B0:B4:48:BC:63:07,145904488994,6.67,False
-61,B0:B4:48:BC:63:07,145904489029,5.0,False
-68,B0:B4:48:BC:63:07,145904489031,6.67,False
-65,B0:B4:48:BC:63:07,145904489032,5.95,False
-68,B0:B4:48:BC:63:07,145904489032,6.67,False
-63,B0:B4:48:BC:63:07,145904489033,5.48,False
-68,B0:B4:48:BC:63:07,145904489034,6.67,False
-63,B0:B4:48:BC:63:07,145904489035,5.48,False
