rssi,mac_address,timestamp,distance,receiver
-68,B0:B4:48:BC:63:07,145904487898,6.67,False
-61,B0:B4:48:BC:63:07,145904487902,5.0,False
-68,B0:B4:48:BC:63:07,145904487904,6.67,False
-59,B0:B4:48:BC:63:07,145904487905,4.52,False
-65,B0:B4:48:BC:63:07,145904487907,5.95,False
-59,B0:B4:48:BC:63:07,145904487908,4.52,False
-68,B0:B4:48:BC:63:07,145904487948,6.67,False
-61,B0:B4:48:BC:63:07,145904487950,5.0,False
-65,B0:B4:48:BC:63:07,145904487951,5.95,False
-59,B0:B4:48:BC:63:07,145904487952,4.52,False
-59,B0:B4:48:BC:63:07,145904487953,4.52,False
-59,B0:B4:48:BC:63:07,145904487954,4.52,False
-68,B0:B4:48:BC:63:07,145904487954,6.67,False
-62,B0:B4:48:BC:63:07,145904487955,5.24,False
-65,B0:B4:48:BC:63:07,145904487990,5.95,False
-66,B0:B4:48:BC:63:07,145904487991,6.19,False
-68,B0:B4:48:BC:63:07,145904487993,6.67,False
-62,B0:B4:48:BC:63:07,145904487994,5.24,False
-66,B0:B4:48:BC:63:07,145904487995,6.19,False
-66,B0:B4:48:BC:63:07,145904487995,6.19,False
-68,B0:B4:48:BC:63:07,145904487996,6.67,False
-62,B0:B4:48:BC:63:07,145904487997,5.24,False
-68,B0:B4:48:BC:63:07,145904488043,6.67,False
-63,B0:B4:48:BC:63:07,145904488045,5.48,False
-68,B0:B4:48:BC:63:07,145904488046,6.67,False
-59,B0:B4:48:BC:63:07,145904488047,4.52,False
-69,B0:B4:48:BC:63:07,145904488048,6.9,False
-68,B0:B4:48:BC:63:07,145904488049,6.67,False
-68,B0:B4:48:BC:63:07,145904488049,6.67,False
-63,B0:B4:48:BC:63:07,145904488050,5.48,False
-68,B0:B4:48:BC:63:07,145904488105,6.67,False
-63,B0:B4:48:BC:63:07,145904488106,5.48,False
-68,B0:B4:48:BC:63:07,145904488108,6.67,False
-63,B0:B4:48:BC:63:07,145904488109,5.48,False
-68,B0:B4:48:BC:63:07,145904488110,6.67,False
-68,B0:B4:48:BC:63:07,145904488111,6.67,False
-68,B0:B4:48:BC:63:07,145904488112,6.67,False
-63,B0:B4:48:BC:63:07,145904488112,5.48,False
-68,B0:B4:48:BC:63:07,145904488180,6.67,False
-59,B0:B4:48:BC:63:07,145904488180,4.52,False
-68,B0:B4:48:BC:63:07,145904488182,6.67,False
-69,B0:B4:48:BC:63:07,145904488183,6.9,False
-70,B0:B4:48:BC:63:07,145904488184,7.14,False
-68,B0:B4:48:BC:63:07,145904488185,6.67,False
-60,B0:B4:48:BC:63:07,145904488185,4.76,False
-64,B0:B4:48:BC:63:07,145904488186,5.71,False
-65,B0:B4:48:BC:63:07,145904488265,5.95,False
-68,B0:B4:48:BC:63:07,145904488267,6.67,False
-62,B0:B4:48:BC:63:07,145904488268,5.24,False
-68,B0:B4:48:BC:63:07,145904488268,6.67,False
-68,B0:B4:48:BC:63:07,145904488269,6.67,False
-68,B0:B4:48:BC:63:07,145904488270,6.67,False
-60,B0:B4:48:BC:63:07,145904488271,4.76,False
-66,B0:B4:48:BC:63:07,145904488271,6.19,False
-66,B0:B4:48:BC:63:07,145904488272,6.19,False
-68,B0:B4:48:BC:63:07,145904488340,6.67,False
-61,B0:B4:48:BC:63:07,145904488341,5.0,False
-68,B0:B4:48:BC:63:07,145904488343,6.67,False
-60,B0:B4:48:BC:63:07,145904488343,4.76,False
-68,B0:B4:48:BC:63:07,145904488344,6.67,False
-64,B0:B4:48:BC:63:07,145904488345,5.71,False
-68,B0:B4:48:BC:63:07,145904488346,6.67,False
-60,B0:B4:48:BC:63:07,145904488346,4.76,False
-68,B0:B4:48:BC:63:07,145904488381,6.67,False
-60,B0:B4:48:BC:63:07,145904488382,4.76,False
-68,B0:B4:48:BC:63:07,145904488383,6.67,False
-63,B0:B4:48:BC:63:07,145904488383,5.48,False
-66,B0:B4:48:BC:63:07,145904488384,6.19,False
-66,B0:B4:48:BC:63:07,145904488385,6.19,False
-68,B0:B4:48:BC:63:07,145904488385,6.67,False
-60,B0:B4:48:BC:63:07,145904488386,4.76,False
-68,B0:B4:48:BC:63:07,145904488432,6.67,False
-63,B0:B4:48:BC:63:07,145904488433,5.48,False
-68,B0:B4:48:BC:63:07,145904488435,6.67,False
-60,B0:B4:48:BC:63:07,145904488436,4.76,False
-66,B0:B4:48:BC:63:07,145904488437,6.19,False
-66,B0:B4:48:BC:63:07,145904488437,6.19,False
-68,B0:B4:48:BC:63:07,145904488438,6.67,False
-60,B0:B4:48:BC:63:07,145904488439,4.76,False
-65,B0:B4:48:BC:63:07,145904488486,5.95,False
-60,B0:B4:48:BC:63:07,145904488488,4.76,False
-68,B0:B4:48:BC:63:07,145904488489,6.67,False
-60,B0:B4:48:BC:63:07,145904488491,4.76,False
-66,B0:B4:48:BC:63:07,145904488492,6.19,False
-66,B0:B4:48:BC:63:07,145904488492,6.19,False
-68,B0:B4:48:BC:63:07,145904488493,6.67,False
-63,B0:B4:48:BC:63:07,145904488494,5.48,False
-66,B0:B4:48:BC:63:07,145904488528,6.19,False
-66,B0:B4:48:BC:63:07,145904488529,6.19,False
-68,B0:B4:48:BC:63:07,145904488531,6.67,False
-63,B0:B4:48:BC:63:07,145904488531,5.48,False
-66,B0:B4:48:BC:63:07,145904488532,6.19,False
-66,B0:B4:48:BC:63:07,145904488533,6.19,False
-68,B0:B4:48:BC:63:07,145904488534,6.67,False
