rssi,mac_address,timestamp,distance,receiver
-67,B0:B4:48:BC:63:07,145904485345,6.43,False
-68,B0:B4:48:BC:63:07,145904485351,6.67,False
-68,B0:B4:48:BC:63:07,145904485382,6.67,False
-60,B0:B4:48:BC:63:07,145904485384,4.76,False
-68,B0:B4:48:BC:63:07,145904485385,6.67,False
-67,B0:B4:48:BC:63:07,145904485386,6.43,False
-68,B0:B4:48:BC:63:07,145904485387,6.67,False
-60,B0:B4:48:BC:63:07,145904485388,4.76,False
-66,B0:B4:48:BC:63:07,145904485388,6.19,False
-67,B0:B4:48:BC:63:07,145904485389,6.43,False
-65,B0:B4:48:BC:63:07,145904485425,5.95,False
-64,B0:B4:48:BC:63:07,145904485426,5.71,False
-68,B0:B4:48:BC:63:07,145904485428,6.67,False
-60,B0:B4:48:BC:63:07,145904485428,4.76,False
-68,B0:B4:48:BC:63:07,145904485429,6.67,False
-63,B0:B4:48:BC:63:07,145904485430,5.48,False
-68,B0:B4:48:BC:63:07,145904485431,6.67,False
-60,B0:B4:48:BC:63:07,145904485432,4.76,False
-68,B0:B4:48:BC:63:07,145904485466,6.67,False
-63,B0:B4:48:BC:63:07,145904485467,5.48,False
-68,B0:B4:48:BC:63:07,145904485468,6.67,False
-63,B0:B4:48:BC:63:07,145904485469,5.48,False
-63,B0:B4:48:BC:63:07,145904485470,5.48,False
-64,B0:B4:48:BC:63:07,145904485470,5.71,False
-68,B0:B4:48:BC:63:07,145904485471,6.67,False
-62,B0:B4:48:BC:63:07,145904485472,5.24,False
-68,B0:B4:48:BC:63:07,145904485509,6.67,False
-59,B0:B4:48:BC:63:07,145904485510,4.52,False
-68,B0:B4:48:BC:63:07,145904485511,6.67,False
-59,B0:B4:48:BC:63:07,145904485512,4.52,False
-68,B0:B4:48:BC:63:07,145904485512,6.67,False
-64,B0:B4:48:BC:63:07,145904485513,5.71,False
-68,B0:B4:48:BC:63:07,145904485514,6.67,False
-60,B0:B4:48:BC:63:07,145904485515,4.76,False
-68,B0:B4:48:BC:63:07,145904485552,6.67,False
-68,B0:B4:48:BC:63:07,145904485553,6.67,False
-68,B0:B4:48:BC:63:07,145904485554,6.67,False
-60,B0:B4:48:BC:63:07,145904485555,4.76,False
-69,B0:B4:48:BC:63:07,145904485556,6.9,False
