rssi,mac_address,timestamp,distance,receiver
-75,B0:B4:48:BC:63:07,145904473781,8.33,False
-75,B0:B4:48:BC:63:07,145904473782,8.33,False
-62,B0:B4:48:BC:63:07,145904473783,5.24,False
-62,B0:B4:48:BC:63:07,145904473784,5.24,False
-68,B0:B4:48:BC:63:07,145904473785,6.67,False
-59,B0:B4:48:BC:63:07,145904473786,4.52,False
-62,B0:B4:48:BC:63:07,145904473788,5.24,False
-59,B0:B4:48:BC:63:07,145904473795,4.52,False
-68,B0:B4:48:BC:63:07,145904473797,6.67,False
-63,B0:B4:48:BC:63:07,145904473798,5.48,False
-68,B0:B4:48:BC:63:07,145904473799,6.67,False
-68,B0:B4:48:BC:63:07,145904473800,6.67,False
-59,B0:B4:48:BC:63:07,145904473800,4.52,False
-68,B0:B4:48:BC:63:07,145904473801,6.67,False
-59,B0:B4:48:BC:63:07,145904473802,4.52,False
-68,B0:B4:48:BC:63:07,145904473836,6.67,False
-59,B0:B4:48:BC:63:07,145904473837,4.52,False
-68,B0:B4:48:BC:63:07,145904473839,6.67,False
-61,B0:B4:48:BC:63:07,145904473840,5.0,False
-68,B0:B4:48:BC:63:07,145904473841,6.67,False
-59,B0:B4:48:BC:63:07,145904473841,4.52,False
-68,B0:B4:48:BC:63:07,145904473842,6.67,False
-63,B0:B4:48:BC:63:07,145904473843,5.48,False
-62,B0:B4:48:BC:63:07,145904473879,5.24,False
-61,B0:B4:48:BC:63:07,145904473881,5.0,False
-68,B0:B4:48:BC:63:07,145904473883,6.67,False
-68,B0:B4:48:BC:63:07,145904473885,6.67,False
-59,B0:B4:48:BC:63:07,145904473886,4.52,False
-68,B0:B4:48:BC:63:07,145904473888,6.67,False
-61,B0:B4:48:BC:63:07,145904473890,5.0,False
-68,B0:B4:48:BC:63:07,145904473893,6.67,False
-59,B0:B4:48:BC:63:07,145904473931,4.52,False
-68,B0:B4:48:BC:63:07,145904473932,6.67,False
-61,B0:B4:48:BC:63:07,145904473934,5.0,False
-68,B0:B4:48:BC:63:07,145904473935,6.67,False
-59,B0:B4:48:BC:63:07,145904473936,4.52,False
-62,B0:B4:48:BC:63:07,145904473937,5.24,False
-61,B0:B4:48:BC:63:07,145904473937,5.0,False
-68,B0:B4:48:BC:63:07,145904473938,6.67,False
-59,B0:B4:48:BC:63:07,145904473939,4.52,False
-68,B0:B4:48:BC:63:07,145904473985,6.67,False
-62,B0:B4:48:BC:63:07,145904473986,5.24,False
-68,B0:B4:48:BC:63:07,145904473988,6.67,False
-59,B0:B4:48:BC:63:07,145904473988,4.52,False
-68,B0:B4:48:BC:63:07,145904473989,6.67,False
-59,B0:B4:48:BC:63:07,145904473990,4.52,False
-62,B0:B4:48:BC:63:07,145904473991,5.24,False
-60,B0:B4:48:BC:63:07,145904473992,4.76,False
-68,B0:B4:48:BC:63:07,145904474028,6.67,False
-59,B0:B4:48:BC:63:07,145904474029,4.52,False
-62,B0:B4:48:BC:63:07,145904474030,5.24,False
-62,B0:B4:48:BC:63:07,145904474031,5.24,False
-68,B0:B4:48:BC:63:07,145904474032,6.67,False
-59,B0:B4:48:BC:63:07,145904474033,4.52,False
-62,B0:B4:48:BC:63:07,145904474034,5.24,False
-62,B0:B4:48:BC:63:07,145904474034,5.24,False
-68,B0:B4:48:BC:63:07,145904474080,6.67,False
-63,B0:B4:48:BC:63:07,145904474081,5.48,False
-61,B0:B4:48:BC:63:07,145904474082,5.0,False
-61,B0:B4:48:BC:63:07,145904474082,5.0,False
-68,B0:B4:48:BC:63:07,145904474083,6.67,False
-61,B0:B4:48:BC:63:07,145904474084,5.0,False
-62,B0:B4:48:BC:63:07,145904474085,5.24,False
-62,B0:B4:48:BC:63:07,145904474085,5.24,False
-62,B0:B4:48:BC:63:07,145904474132,5.24,False
-62,B0:B4:48:BC:63:07,145904474133,5.24,False
-62,B0:B4:48:BC:63:07,145904474134,5.24,False
-61,B0:B4:48:BC:63:07,145904474134,5.0,False
-68,B0:B4:48:BC:63:07,145904474135,6.67,False
-62,B0:B4:48:BC:63:07,145904474136,5.24,False
-61,B0:B4:48:BC:63:07,145904474137,5.0,False
-61,B0:B4:48:BC:63:07,145904474137,5.0,False
-65,B0:B4:48:BC:63:07,145904474194,5.95,False
-59,B0:B4:48:BC:63:07,145904474195,4.52,False
-68,B0:B4:48:BC:63:07,145904474196,6.67,False
-63,B0:B4:48:BC:63:07,145904474197,5.48,False
-68,B0:B4:48:BC:63:07,145904474198,6.67,False
-59,B0:B4:48:BC:63:07,145904474198,4.52,False
-62,B0:B4:48:BC:63:07,145904474199,5.24,False
-62,B0:B4:48:BC:63:07,145904474200,5.24,False
-62,B0:B4:48:BC:63:07,145904474235,5.24,False
-62,B0:B4:48:BC:63:07,145904474236,5.24,False
-68,B0:B4:48:BC:63:07,145904474236,6.67,False
-62,B0:B4:48:BC:63:07,145904474238,5.24,False
-62,B0:B4:48:BC:63:07,145904474239,5.24,False
-62,B0:B4:48:BC:63:07,145904474239,5.24,False
-68,B0:B4:48:BC:63:07,145904474240,6.67,False
-59,B0:B4:48:BC:63:07,145904474241,4.52,False
-68,B0:B4:48:BC:63:07,145904474276,6.67,False
-62,B0:B4:48:BC:63:07,145904474277,5.24,False
-68,B0:B4:48:BC:63:07,145904474279,6.67,False
-60,B0:B4:48:BC:63:07,145904474280,4.76,False
-68,B0:B4:48:BC:63:07,145904474280,6.67,False
-63,B0:B4:48:BC:63:07,145904474281,5.48,False
-63,B0:B4:48:BC:63:07,145904474282,5.48,False
-63,B0:B4:48:BC:63:07,145904474282,5.48,False
-68,B0:B4:48:BC:63:07,145904474339,6.67,False
-64,B0:B4:48:BC:63:07,145904474340,5.71,False
-68,B0:B4:48:BC:63:07,145904474342,6.67,False
-59,B0:B4:48:BC:63:07,145904474343,4.52,False
