rssi,mac_address,timestamp,distance
-41,B0:B4:48:BC:63:07,145852579786,0.45
-42,B0:B4:48:BC:63:07,145852579786,0.91
-43,B0:B4:48:BC:63:07,145852579786,1.36
-45,B0:B4:48:BC:63:07,145852579786,2.27
-44,B0:B4:48:BC:63:07,145852579786,1.82
-42,B0:B4:48:BC:63:07,145852579786,0.91
-42,B0:B4:48:BC:63:07,145852579786,0.91
-42,B0:B4:48:BC:63:07,145852579786,0.91
-42,B0:B4:48:BC:63:07,145852579786,0.91
-45,B0:B4:48:BC:63:07,145852579786,2.27
-44,B0:B4:48:BC:63:07,145852579786,1.82
-42,B0:B4:48:BC:63:07,145852579786,0.91
-45,B0:B4:48:BC:63:07,145852579786,2.27
-44,B0:B4:48:BC:63:07,145852579786,1.82
-41,B0:B4:48:BC:63:07,145852579786,0.45
-41,B0:B4:48:BC:63:07,145852579787,0.45
-45,B0:B4:48:BC:63:07,145852579787,2.27
-44,B0:B4:48:BC:63:07,145852579787,1.82
-42,B0:B4:48:BC:63:07,145852579787,0.91
-44,B0:B4:48:BC:63:07,145852579787,1.82
-43,B0:B4:48:BC:63:07,145852579787,1.36
-46,B0:B4:48:BC:63:07,145852580172,2.73
-40,B0:B4:48:BC:63:07,145852580172,0.0
-39,B0:B4:48:BC:63:07,145852580172,-0.45
-41,B0:B4:48:BC:63:07,145852580172,0.45
-44,B0:B4:48:BC:63:07,145852580172,1.82
-44,B0:B4:48:BC:63:07,145852580172,1.82
-44,B0:B4:48:BC:63:07,145852580172,1.82
-48,B0:B4:48:BC:63:07,145852580172,3.64
-48,B0:B4:48:BC:63:07,145852580235,3.64
-47,B0:B4:48:BC:63:07,145852580235,3.18
-50,B0:B4:48:BC:63:07,145852580235,4.55
-50,B0:B4:48:BC:63:07,145852580235,4.55
-50,B0:B4:48:BC:63:07,145852580235,4.55
-51,B0:B4:48:BC:63:07,145852580235,5.0
-51,B0:B4:48:BC:63:07,145852580235,5.0
-49,B0:B4:48:BC:63:07,145852580235,4.09
-45,B0:B4:48:BC:63:07,145852580298,2.27
-46,B0:B4:48:BC:63:07,145852580298,2.73
-49,B0:B4:48:BC:63:07,145852580298,4.09
-45,B0:B4:48:BC:63:07,145852580298,2.27
-48,B0:B4:48:BC:63:07,145852580298,3.64
-44,B0:B4:48:BC:63:07,145852580298,1.82
-44,B0:B4:48:BC:63:07,145852580298,1.82
-43,B0:B4:48:BC:63:07,145852580350,1.36
-46,B0:B4:48:BC:63:07,145852580350,2.73
-44,B0:B4:48:BC:63:07,145852580350,1.82
-44,B0:B4:48:BC:63:07,145852580350,1.82
-42,B0:B4:48:BC:63:07,145852580350,0.91
-42,B0:B4:48:BC:63:07,145852580350,0.91
-47,B0:B4:48:BC:63:07,145852580350,3.18
-47,B0:B4:48:BC:63:07,145852580350,3.18
-47,B0:B4:48:BC:63:07,145852580402,3.18
-46,B0:B4:48:BC:63:07,145852580402,2.73
-50,B0:B4:48:BC:63:07,145852580402,4.55
-50,B0:B4:48:BC:63:07,145852580402,4.55
-50,B0:B4:48:BC:63:07,145852580402,4.55
-51,B0:B4:48:BC:63:07,145852580402,5.0
-49,B0:B4:48:BC:63:07,145852580402,4.09
-48,B0:B4:48:BC:63:07,145852580402,3.64
-47,B0:B4:48:BC:63:07,145852580444,3.18
-48,B0:B4:48:BC:63:07,145852580444,3.64
-41,B0:B4:48:BC:63:07,145852580444,0.45
-41,B0:B4:48:BC:63:07,145852580444,0.45
-45,B0:B4:48:BC:63:07,145852580444,2.27
-44,B0:B4:48:BC:63:07,145852580444,1.82
-42,B0:B4:48:BC:63:07,145852580444,0.91
-40,B0:B4:48:BC:63:07,145852580444,0.0
-40,B0:B4:48:BC:63:07,145852580497,0.0
-40,B0:B4:48:BC:63:07,145852580497,0.0
-39,B0:B4:48:BC:63:07,145852580497,-0.45
-39,B0:B4:48:BC:63:07,145852580497,-0.45
-48,B0:B4:48:BC:63:07,145852580497,3.64
-48,B0:B4:48:BC:63:07,145852580497,3.64
-46,B0:B4:48:BC:63:07,145852580497,2.73
-47,B0:B4:48:BC:63:07,145852580497,3.18
-48,B0:B4:48:BC:63:07,145852580550,3.64
-45,B0:B4:48:BC:63:07,145852580550,2.27
-47,B0:B4:48:BC:63:07,145852580550,3.18
-47,B0:B4:48:BC:63:07,145852580550,3.18
-41,B0:B4:48:BC:63:07,145852580550,0.45
-41,B0:B4:48:BC:63:07,145852580550,0.45
-43,B0:B4:48:BC:63:07,145852580550,1.36
-47,B0:B4:48:BC:63:07,145852580601,3.18
-42,B0:B4:48:BC:63:07,145852580601,0.91
-42,B0:B4:48:BC:63:07,145852580601,0.91
-40,B0:B4:48:BC:63:07,145852580601,0.0
-40,B0:B4:48:BC:63:07,145852580601,0.0
-44,B0:B4:48:BC:63:07,145852580601,1.82
-43,B0:B4:48:BC:63:07,145852580601,1.36
-43,B0:B4:48:BC:63:07,145852580601,1.36
-45,B0:B4:48:BC:63:07,145852580665,2.27
-52,B0:B4:48:BC:63:07,145852580665,5.45
-55,B0:B4:48:BC:63:07,145852580665,6.82
-59,B0:B4:48:BC:63:07,145852580665,8.64
-62,B0:B4:48:BC:63:07,145852580665,10.0
-51,B0:B4:48:BC:63:07,145852580665,5.0
-46,B0:B4:48:BC:63:07,145852580665,2.73
-50,B0:B4:48:BC:63:07,145852580666,4.55
-50,B0:B4:48:BC:63:07,145852580727,4.55
-51,B0:B4:48:BC:63:07,145852580727,5.0
-52,B0:B4:48:BC:63:07,145852580727,5.45
-47,B0:B4:48:BC:63:07,145852580727,3.18
-48,B0:B4:48:BC:63:07,145852580727,3.64
-48,B0:B4:48:BC:63:07,145852580727,3.64
-45,B0:B4:48:BC:63:07,145852580727,2.27
-53,B0:B4:48:BC:63:07,145852580727,5.91
-52,B0:B4:48:BC:63:07,145852580769,5.45
-53,B0:B4:48:BC:63:07,145852580769,5.91
-55,B0:B4:48:BC:63:07,145852580769,6.82
-50,B0:B4:48:BC:63:07,145852580769,4.55
-51,B0:B4:48:BC:63:07,145852580769,5.0
-47,B0:B4:48:BC:63:07,145852580769,3.18
-47,B0:B4:48:BC:63:07,145852580769,3.18
-52,B0:B4:48:BC:63:07,145852580822,5.45
-52,B0:B4:48:BC:63:07,145852580822,5.45
-53,B0:B4:48:BC:63:07,145852580822,5.91
-56,B0:B4:48:BC:63:07,145852580822,7.27
-56,B0:B4:48:BC:63:07,145852580822,7.27
-48,B0:B4:48:BC:63:07,145852580822,3.64
-45,B0:B4:48:BC:63:07,145852580822,2.27
-45,B0:B4:48:BC:63:07,145852580822,2.27
-43,B0:B4:48:BC:63:07,145852580864,1.36
-43,B0:B4:48:BC:63:07,145852580864,1.36
-39,B0:B4:48:BC:63:07,145852580864,-0.45
-39,B0:B4:48:BC:63:07,145852580864,-0.45
-43,B0:B4:48:BC:63:07,145852580864,1.36
-43,B0:B4:48:BC:63:07,145852580864,1.36
-40,B0:B4:48:BC:63:07,145852580864,0.0
-39,B0:B4:48:BC:63:07,145852580864,-0.45
