rssi,mac_address,timestamp,distance
-43,B0:B4:48:BC:63:07,145858982631,0.71
-43,B0:B4:48:BC:63:07,145858982631,0.71
-44,B0:B4:48:BC:63:07,145858982631,0.95
-43,B0:B4:48:BC:63:07,145858982631,0.71
-45,B0:B4:48:BC:63:07,145858982631,1.19
-45,B0:B4:48:BC:63:07,145858982631,1.19
-43,B0:B4:48:BC:63:07,145858982673,0.71
-43,B0:B4:48:BC:63:07,145858982673,0.71
-49,B0:B4:48:BC:63:07,145858982673,2.14
-49,B0:B4:48:BC:63:07,145858982673,2.14
-43,B0:B4:48:BC:63:07,145858982673,0.71
-43,B0:B4:48:BC:63:07,145858982673,0.71
-44,B0:B4:48:BC:63:07,145858982673,0.95
-44,B0:B4:48:BC:63:07,145858982673,0.95
-43,B0:B4:48:BC:63:07,145858982715,0.71
-43,B0:B4:48:BC:63:07,145858982715,0.71
-44,B0:B4:48:BC:63:07,145858982715,0.95
-45,B0:B4:48:BC:63:07,145858982715,1.19
-44,B0:B4:48:BC:63:07,145858982715,0.95
-45,B0:B4:48:BC:63:07,145858982715,1.19
-49,B0:B4:48:BC:63:07,145858982715,2.14
-48,B0:B4:48:BC:63:07,145858982715,1.9
-44,B0:B4:48:BC:63:07,145858982766,0.95
-44,B0:B4:48:BC:63:07,145858982766,0.95
-49,B0:B4:48:BC:63:07,145858982766,2.14
-48,B0:B4:48:BC:63:07,145858982766,1.9
-43,B0:B4:48:BC:63:07,145858982766,0.71
-43,B0:B4:48:BC:63:07,145858982766,0.71
-49,B0:B4:48:BC:63:07,145858982766,2.14
-48,B0:B4:48:BC:63:07,145858982766,1.9
-44,B0:B4:48:BC:63:07,145858982829,0.95
-45,B0:B4:48:BC:63:07,145858982829,1.19
-43,B0:B4:48:BC:63:07,145858982829,0.71
-43,B0:B4:48:BC:63:07,145858982829,0.71
-44,B0:B4:48:BC:63:07,145858982829,0.95
-43,B0:B4:48:BC:63:07,145858982829,0.71
-43,B0:B4:48:BC:63:07,145858982829,0.71
-43,B0:B4:48:BC:63:07,145858982829,0.71
-49,B0:B4:48:BC:63:07,145858982871,2.14
-48,B0:B4:48:BC:63:07,145858982871,1.9
-44,B0:B4:48:BC:63:07,145858982871,0.95
-45,B0:B4:48:BC:63:07,145858982871,1.19
-49,B0:B4:48:BC:63:07,145858982871,2.14
-48,B0:B4:48:BC:63:07,145858982871,1.9
-43,B0:B4:48:BC:63:07,145858982871,0.71
-43,B0:B4:48:BC:63:07,145858982871,0.71
-48,B0:B4:48:BC:63:07,145858982923,1.9
-43,B0:B4:48:BC:63:07,145858982923,0.71
-43,B0:B4:48:BC:63:07,145858982923,0.71
-43,B0:B4:48:BC:63:07,145858982923,0.71
-43,B0:B4:48:BC:63:07,145858982923,0.71
-49,B0:B4:48:BC:63:07,145858982923,2.14
-48,B0:B4:48:BC:63:07,145858982923,1.9
-44,B0:B4:48:BC:63:07,145858982996,0.95
-44,B0:B4:48:BC:63:07,145858982996,0.95
-44,B0:B4:48:BC:63:07,145858982996,0.95
-43,B0:B4:48:BC:63:07,145858982996,0.71
-43,B0:B4:48:BC:63:07,145858982996,0.71
-43,B0:B4:48:BC:63:07,145858982996,0.71
-43,B0:B4:48:BC:63:07,145858982996,0.71
-48,B0:B4:48:BC:63:07,145858982996,1.9
-48,B0:B4:48:BC:63:07,145858982996,1.9
-44,B0:B4:48:BC:63:07,145858983039,0.95
